"","YEAR","INDICATOR_NAME","DATA_VALUE","SD"
"1",2003,"Spring_Chlorophylla_Peak_SEBS_Satellite",106.238938053097,31.546245626824
"2",2004,"Spring_Chlorophylla_Peak_SEBS_Satellite",120.2,21.4334044353218
"3",2005,"Spring_Chlorophylla_Peak_SEBS_Satellite",111.357142857143,26.0536027986576
"4",2006,"Spring_Chlorophylla_Peak_SEBS_Satellite",133.778761061947,23.2493219998203
"5",2007,"Spring_Chlorophylla_Peak_SEBS_Satellite",119.642201834862,22.8633310394208
"6",2008,"Spring_Chlorophylla_Peak_SEBS_Satellite",131.385321100917,15.3875299782364
"7",2009,"Spring_Chlorophylla_Peak_SEBS_Satellite",139.618181818182,14.9709086816943
"8",2010,"Spring_Chlorophylla_Peak_SEBS_Satellite",128.96261682243,19.9129829809812
"9",2011,"Spring_Chlorophylla_Peak_SEBS_Satellite",121.108108108108,25.7058010259981
"10",2012,"Spring_Chlorophylla_Peak_SEBS_Satellite",132.855855855856,16.8840144121575
"11",2013,"Spring_Chlorophylla_Peak_SEBS_Satellite",125.785714285714,18.2225622803649
"12",2014,"Spring_Chlorophylla_Peak_SEBS_Satellite",125.280701754386,20.3593855514884
"13",2015,"Spring_Chlorophylla_Peak_SEBS_Satellite",131.785714285714,27.192151945242
"14",2016,"Spring_Chlorophylla_Peak_SEBS_Satellite",125.280701754386,24.4542226376738
"15",2017,"Spring_Chlorophylla_Peak_SEBS_Satellite",110.947826086957,19.8405236022539
"16",2018,"Spring_Chlorophylla_Peak_SEBS_Satellite",139.518518518519,21.1277739345526
"17",2019,"Spring_Chlorophylla_Peak_SEBS_Satellite",113.612612612613,20.7088787156055
"18",2020,"Spring_Chlorophylla_Peak_SEBS_Satellite",123.947368421053,16.7442195046176
"19",2021,"Spring_Chlorophylla_Peak_SEBS_Satellite",129.03738317757,21.2620333226191
"20",2022,"Spring_Chlorophylla_Peak_SEBS_Satellite",117.864864864865,26.3205714522402
