"YEAR","DATA_VALUE","INDICATOR_NAME"
2003,3.02064119376753,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2004,3.19046207503725,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2005,1.85548018581383,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2006,1.40304043802765,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2007,0.991943226120858,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2008,1.46677779227557,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2009,2.49280940790218,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2010,1.97021843971631,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2011,1.188408822596,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2012,1.15058710376592,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2013,1.92021795470465,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2014,1.77892006383287,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2015,2.70814639289294,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2016,1.75978265697557,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2017,2.36376833318374,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2018,2.42255083846317,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2019,1.77030892641295,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2020,2.86620805762627,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2021,2.59970455887176,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
2022,3.49150364717765,"AMJ_Chlorophylla_Biomass_SEBS_Satellite"
