"YEAR","DATA_VALUE","INDICATOR_NAME"
2003,3.94078575654003,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2004,3.86371387538665,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2005,2.08746996254152,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2006,1.9012343159486,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2007,0.802514179177706,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2008,1.33118392630241,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2009,2.56866046861565,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2010,1.54189430894309,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2011,1.16848108172222,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2012,0.505871336080047,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2013,1.20052793343522,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2014,2.99129572002617,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2015,2.75786674426463,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2016,1.56039505926885,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2017,3.45788991946257,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2018,2.78211357248521,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2019,2.07244964641886,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2020,2.98575876990538,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2021,3.19448395770947,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
2022,3.90453920005428,"Spring_Chlorophylla_Biomass_SMBKC_Satellite"
