"YEAR","DATA_VALUE","INDICATOR_NAME"
2003,3.1246774869284,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2004,3.79427033217749,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2005,2.86944683078256,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2006,1.99487144047112,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2007,2.10780513146475,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2008,2.19391553325968,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2009,3.15830451004337,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2010,4.16278954090282,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2011,2.90455727695342,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2012,2.85558055729378,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2013,2.97055079835748,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2014,4.28033981906552,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2015,3.94570248441534,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2016,2.36969971530467,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2017,1.94521289503945,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2018,2.09995406483501,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2019,2.23660474274793,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2020,2.53207315255259,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2021,2.49454860379024,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
2022,2.30247566106929,"Spring_Chlorophylla_Biomass_SEBS_Inner_Shelf_Satellite"
