"ai_atka","year","n","na_count","chla_mean","chla_sd","coarse_coverage","indicator_name"
"attu",1998,4125,3491,0.835308874866188,0.977268347581655,0.15369696969697,"Atka_amj_chla"
"attu",1999,4125,3555,0.681959895789623,0.395582591120128,0.138181818181818,"Atka_amj_chla"
"attu",2000,4125,3835,0.522774086327388,0.111295957585483,0.0703030303030303,"Atka_amj_chla"
"attu",2001,4125,2813,1.08877057736603,1.05994042033036,0.318060606060606,"Atka_amj_chla"
"attu",2002,4125,3186,0.494615048106613,0.210393597847379,0.227636363636364,"Atka_amj_chla"
"attu",2003,4125,2454,0.863366117632938,0.913115809662936,0.405090909090909,"Atka_amj_chla"
"attu",2004,4125,2183,1.2963200176996,0.720197374668956,0.470787878787879,"Atka_amj_chla"
"attu",2005,4125,2371,0.754130569073194,0.573488157050492,0.425212121212121,"Atka_amj_chla"
"attu",2006,4125,2493,0.396018409654133,0.079172060479263,0.395636363636364,"Atka_amj_chla"
"attu",2007,4125,2835,0.604457686113757,0.605786931614106,0.312727272727273,"Atka_amj_chla"
"attu",2008,4125,3671,1.01619665442847,0.94968759205589,0.110060606060606,"Atka_amj_chla"
"attu",2009,4125,2163,1.66358879933876,2.46375058288344,0.475636363636364,"Atka_amj_chla"
"attu",2010,4125,2490,0.667566071008688,0.456414871528074,0.396363636363636,"Atka_amj_chla"
"attu",2011,4125,2990,0.943848740713187,0.992985819628934,0.275151515151515,"Atka_amj_chla"
"attu",2012,4125,3117,0.595641107372348,0.255484820844866,0.244363636363636,"Atka_amj_chla"
"attu",2013,4125,2728,1.40169047874131,1.3875318593675,0.338666666666667,"Atka_amj_chla"
"attu",2014,4125,3120,0.755612194627079,0.389534196556322,0.243636363636364,"Atka_amj_chla"
"attu",2015,4125,2942,0.922795251049637,0.495062250334699,0.286787878787879,"Atka_amj_chla"
"attu",2016,4125,1947,1.25940525738387,0.989833252352009,0.528,"Atka_amj_chla"
"attu",2017,4125,2011,1.13001659726098,1.36764903786671,0.512484848484848,"Atka_amj_chla"
"attu",2018,4125,2035,0.571942172637967,0.649051813490325,0.506666666666667,"Atka_amj_chla"
"attu",2019,4125,2168,1.67559042371197,1.32356108777048,0.474424242424242,"Atka_amj_chla"
"attu",2020,4125,2606,0.665418630901177,0.502571404809949,0.368242424242424,"Atka_amj_chla"
"attu",2021,4125,1911,1.50440205804593,1.50927392965928,0.536727272727273,"Atka_amj_chla"
"attu",2022,4125,2544,0.728131558607079,0.39248586977807,0.383272727272727,"Atka_amj_chla"
"attu",2023,4125,2008,0.671520302317646,0.363245640824665,0.513212121212121,"Atka_amj_chla"
"attu",2024,4125,1715,0.545351874679945,0.397930179395647,0.584242424242424,"Atka_amj_chla"
"seguam",1998,1980,1710,0.398648357391357,0.117962516874304,0.136363636363636,"Atka_amj_chla"
"seguam",1999,1980,1550,0.700764695580962,0.976691114776454,0.217171717171717,"Atka_amj_chla"
"seguam",2000,1980,1791,0.409813801920603,0.258337534249181,0.0954545454545455,"Atka_amj_chla"
"seguam",2001,1980,1749,0.584558840534646,0.230499704531777,0.116666666666667,"Atka_amj_chla"
"seguam",2002,1980,1260,0.480348815996614,0.34257107608784,0.363636363636364,"Atka_amj_chla"
"seguam",2003,1980,1512,0.603530157739535,0.347164208415651,0.236363636363636,"Atka_amj_chla"
"seguam",2004,1980,1102,0.571075796911277,0.312539866732402,0.443434343434343,"Atka_amj_chla"
"seguam",2005,1980,1501,0.629413493615352,0.415686537232501,0.241919191919192,"Atka_amj_chla"
"seguam",2006,1980,1167,0.433631324478474,0.354647558812393,0.410606060606061,"Atka_amj_chla"
"seguam",2007,1980,933,0.56283432343457,0.484035596076412,0.528787878787879,"Atka_amj_chla"
"seguam",2008,1980,1535,0.570250626259975,0.438877009379076,0.224747474747475,"Atka_amj_chla"
"seguam",2009,1980,973,0.549939342279657,0.475733889670659,0.508585858585859,"Atka_amj_chla"
"seguam",2010,1980,987,0.478709244445972,0.310700456362514,0.501515151515151,"Atka_amj_chla"
"seguam",2011,1980,1436,0.650510747697862,0.775828774303726,0.274747474747475,"Atka_amj_chla"
"seguam",2012,1980,1253,0.59597846037584,0.540424873820769,0.367171717171717,"Atka_amj_chla"
"seguam",2013,1980,1343,0.467708502941453,0.164356671468309,0.321717171717172,"Atka_amj_chla"
"seguam",2014,1980,1384,0.478976685528787,0.205761313090716,0.301010101010101,"Atka_amj_chla"
"seguam",2015,1980,1039,0.60837968911552,0.437815945815317,0.475252525252525,"Atka_amj_chla"
"seguam",2016,1980,1073,0.548016849860072,0.315970031782598,0.458080808080808,"Atka_amj_chla"
"seguam",2017,1980,1149,0.6671224502414,0.503027870305378,0.41969696969697,"Atka_amj_chla"
"seguam",2018,1980,1076,0.351231173966574,0.0960407662731844,0.456565656565657,"Atka_amj_chla"
"seguam",2019,1980,960,0.980895210539593,1.00319904389172,0.515151515151515,"Atka_amj_chla"
"seguam",2020,1980,997,0.483670697844041,0.273794789353726,0.496464646464646,"Atka_amj_chla"
"seguam",2021,1980,800,0.776989036356494,0.695478181461756,0.595959595959596,"Atka_amj_chla"
"seguam",2022,1980,1074,0.502216411429657,0.441752887179634,0.457575757575758,"Atka_amj_chla"
